id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
178;line;-;MEDIUM UP;Lee Konitz;-;-;-;-;-;-;21;7;4,4,2,3,3,3,3;0111,1111,11,111,111,111,111
179;line;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;25;8;5,4,4,4,2,2,6,6;01111,1111,0001,1111,11,11,100011,011111
180;line;-;UP;Joe Lovano;-;-;-;-;-;-;13;6;6,2,2,2,2,2;101011,11,01,11,11,11
181;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;21;9;4,4,4,3,2,4,4,6,2;1100,1111,0111,111,01,0001,0011,111000,11
182;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;9;6;4,8,4,2,4,1;0111,10000001,0001,01,0001,1
183;lick;-;UP;Michael Brecker;-;-;-;-;-;-;6;3;4,2,4;1001,01,1011
184;lick;-;MEDIUM;Don Ellis;-;-;-;-;-;-;4;3;2,2,2;01,01,11
185;line;-;MEDIUM;George Coleman;-;-;-;-;-;-;14;4;4,4,4,4;1110,1110,1111,1111
186;lick;-;UP;Charlie Parker;-;-;-;-;-;-;6;4;2,2,2,4;11,01,11,0001
187;line;-;UP;Sonny Rollins;-;-;-;-;-;-;29;16;1,2,4,2,3,2,2,2,1,1,1,2,2,2,3,2;1,01,1011,11,111,11,01,11,1,1,1,11,11,11,111,11
188;line;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;14;6;6,10,1,8,1,6;011011,0100101001,0,00000011,0,010111
189;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;3;2;2,7;01,0010001
190;line;-;UP;David Liebman;-;-;-;-;-;-;34;17;1,1,2,2,2,1,3,3,4,2,2,3,3,2,2,4,3;1,1,01,11,11,1,111,111,0011,11,11,111,111,11,01,1101,011
191;lick;-;UP;John Coltrane;-;-;-;-;-;-;28;16;2,4,2,4,2,2,3,1,4,3,2,1,2,2,1,2;01,0001,11,1111,01,11,111,1,1101,011,11,1,11,01,1,01
192;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;26;7;4,4,4,4,4,6,4;1111,1111,1111,1111,1011,000111,1111
193;line;-;MEDIUM UP;Dizzy Gillespie;-;-;-;-;-;-;101;29;6,4,4,2,2,2,4,1,6,5,4,3,1,6,6,5,4,4,4,4,6,1,6,5,4,6,1,6,5;101111,1111,1111,11,11,11,0111,1,111111,01111,1111,111,1,110111,011111,01111,1111,1111,1101,1111,101111,1,011001,01111,1111,111111,1,011001,01111
194;lick;-;UP;John Coltrane;-;-;-;-;-;-;6;3;2,4,2;11,1001,11
195;lick;-;UP;Steve Turre;-;-;-;-;-;-;6;3;4,4,2;0110,1001,11
196;lick;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;3;2;4,2;0110,01
197;line;-;UP;Pepper Adams;-;-;-;-;-;-;12;6;4,3,3,2,2,2;1011,011,011,01,11,11
198;line;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;37;18;2,8,2,3,1,1,1,1,1,1,8,6,3,3,4,3,4,5;01,00100011,01,111,1,1,1,1,1,1,00000101,011110,111,011,0111,111,1100,01111
199;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;14;9;4,6,1,2,2,2,2,6,2;1001,000101,1,01,01,11,11,010001,01
200;lick;-;UP;Lee Morgan;-;-;-;-;-;-;4;4;1,1,1,1;1,1,1,1
201;line;-;MEDIUM UP;Bob Berg;-;-;-;-;-;-;56;17;6,6,4,4,4,4,6,4,6,4,4,5,2,2,2,2,4;100101,101011,1111,1111,1111,1100,001101,1111,111011,1111,1110,01111,11,11,11,11,1111
202;line;-;MEDIUM;Lee Konitz;-;-;-;-;-;-;30;18;6,2,1,1,2,6,4,1,1,1,1,2,2,2,2,2,2,1;010011,11,1,1,11,011011,0001,1,1,1,1,11,11,11,01,11,11,1
203;line;-;UP;Art Pepper;-;-;-;-;-;-;12;6;2,2,2,2,4,2;11,11,11,11,0011,11
204;lick;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;6;2;3,8;011,00001111
205;line;-;UP;John Coltrane;-;-;-;-;-;-;4;3;2,2,2;01,01,11
206;line;-;UP;Herbie Hancock;-;-;-;-;-;-;16;10;2,2,2,2,3,1,2,2,2,2;11,01,11,11,110,1,11,01,11,01
207;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;23;10;8,6,2,2,2,1,3,2,2,2;10101011,010011,01,11,11,1,111,11,11,11
208;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;16;10;2,4,4,2,1,4,1,1,6,2;11,1001,0001,11,1,1101,1,1,000001,11
209;line;-;UP;Kenny Dorham;-;-;-;-;-;-;26;11;4,2,2,2,4,4,2,2,2,4,2;1011,11,11,11,1111,1110,11,11,11,1100,11
210;line;-;UP;Phil Woods;-;-;-;-;-;-;55;29;2,2,2,2,2,2,2,2,2,2,2,1,4,4,2,2,2,1,2,2,2,2,2,4,2,1,2,2,3;11,11,11,11,11,11,11,11,11,11,11,1,1001,0110,01,11,11,1,11,11,11,11,11,1011,11,1,11,11,011
211;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;10;5;4,4,2,4,2;1011,0111,01,0001,11
212;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;2;2;2,1;01,1
213;lick;-;UP;Steve Coleman;-;-;-;-;-;-;14;10;2,4,2,2,1,2,1,4,2,2;01,1101,01,01,1,01,1,0001,11,11
214;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;2,3,2,2,1;01,111,11,01,1
215;line;-;UP;Herbie Hancock;-;-;-;-;-;-;87;50;2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,4,2,2,2,3,2,2,2,3,2,2,2,1,2,2,2,2;11,11,11,11,11,1,11,11,11,11,11,1011,11,11,11,11,1,1,11,1,11,01,11,1,1,11,11,11,11,1,1,11,11,1001,01,11,01,011,11,11,11,011,01,11,11,1,11,11,11,01
216;line;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;18;8;2,3,3,3,2,1,2,3;11,111,111,111,11,1,01,111
217;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;4;3;2,5,2;01,01001,01
218;line;-;UP;Bob Berg;-;-;-;-;-;-;14;7;2,2,2,2,2,2,2;11,11,11,11,11,11,11
219;lick;-;UP;Stan Getz;-;-;-;-;-;-;15;10;2,1,2,2,1,1,1,2,2,2;11,1,11,11,1,1,1,01,11,11
220;line;-;UP;Gerry Mulligan;-;-;-;-;-;-;45;25;2,2,2,2,2,2,2,1,1,2,3,2,4,2,1,1,2,1,2,4,2,2,2,2,2;11,11,11,11,11,11,11,1,1,11,110,11,1001,11,1,1,11,1,11,0111,11,01,11,11,11
221;lick;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;9;3;4,8,4;1110,01010111,0001
222;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;5;3;2,6,1;11,000011,1
223;line;-;UP;John Coltrane;-;-;-;-;-;-;12;6;2,2,1,2,2,4;11,11,1,11,11,1110
224;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;12;7;1,2,2,1,4,4,1;1,11,11,1,1101,0011,1
225;line;-;UP;Stan Getz;-;-;-;-;-;-;15;8;1,2,2,2,2,2,2,2;1,11,11,11,11,11,11,11
226;line;-;UP;Joe Lovano;-;-;-;-;-;-;9;4;2,2,4,2;11,11,1011,11
227;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;16;13;2,2,2,2,2,1,1,1,4,2,2,2,2;11,11,01,11,01,1,1,1,0001,01,01,01,01
228;line;-;UP;Branford Marsalis;-;-;-;-;-;-;30;14;6,2,6,2,2,2,2,2,2,4,2,4,3,3;100101,01,000011,11,11,11,11,11,11,1011,11,1001,011,111
229;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;5;4;2,1,1,2;01,1,1,11
230;lick;-;UP;John Coltrane;-;-;-;-;-;-;16;9;2,2,2,3,2,1,4,2,4;11,01,01,111,11,1,0001,11,1011
231;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;35;23;2,2,2,2,4,4,4,4,4,2,1,3,2,1,2,2,2,2,4,2,2,2,1;01,11,11,01,1001,0001,1001,1001,1001,01,1,111,11,1,11,11,01,01,0001,01,11,01,1
232;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;15;9;3,1,2,2,2,2,1,4,1;011,1,11,01,11,11,1,1011,1
233;line;-;UP;Joe Lovano;-;-;-;-;-;-;26;13;2,2,2,3,4,1,2,2,2,2,3,3,1;11,01,11,111,0111,1,11,11,11,11,111,110,1
234;line;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;23;10;2,4,4,3,2,2,4,2,5,1;11,1001,0111,110,11,11,0111,11,01111,1
235;line;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;15;6;6,6,10,1,1,1,8;101101,011011,0100101001,0,1,0,00000011
236;line;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;13;6;2,2,2,1,4,4;11,11,11,1,1111,0011
237;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;13;7;2,4,2,2,2,3,4;11,0111,11,01,01,110,0011
238;lick;-;UP;Joe Lovano;-;-;-;-;-;-;12;8;1,1,2,2,2,4,2,2;1,1,11,01,11,0001,11,11
239;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;5;3;4,1,4;1100,1,0011
240;line;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;20;7;6,10,1,6,1,4,1,6;011011,0100101001,0,010111,0,1111,0,011101
241;line;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;12;4;6,6,2,1,8;011101,011101,11,0,00000011
242;lick;-;UP;Pat Metheny;-;-;-;-;-;-;12;9;1,2,2,1,2,2,3,1,1;1,11,01,1,01,11,011,1,1
243;line;-;UP;Steve Coleman;-;-;-;-;-;-;17;8;2,2,1,2,2,4,4,4;01,11,1,11,11,1001,1111,1011
244;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;6;5;1,2,1,2,4;1,01,1,01,1001
245;line;-;UP;John Coltrane;-;-;-;-;-;-;12;5;1,3,3,2,4;1,111,111,11,1101
246;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;2,2,1,4,2;11,01,1,1101,01
247;lick;-;MEDIUM UP;Steve Lacy;-;-;-;-;-;-;11;4;6,2,5,2;011110,01,01111,11
248;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;15;7;4,2,2,2,2,2,6;1101,11,11,11,11,11,001001
249;line;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;37;10;6,4,4,4,4,4,4,4,4,4;101111,1110,1111,0111,1111,1111,1111,1111,1111,0011
250;line;-;UP;Fats Navarro;-;-;-;-;-;-;27;12;3,2,6,6,2,4,2,1,2,4,2,2;110,11,010011,000011,11,1111,11,1,11,1011,11,11
251;lick;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;9;6;2,2,1,1,2,1;11,11,1,1,11,1
252;lick;-;UP;David Liebman;-;-;-;-;-;-;8;6;2,2,1,4,2,2;01,01,1,1110,01,01
253;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;9;8;2,2,2,1,1,2,2,1;11,01,01,1,1,01,01,1
254;lick;-;UP;Chris Potter;-;-;-;-;-;-;43;22;4,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2;1111,0111,11,11,11,01,011,11,11,11,11,11,11,11,11,11,11,1,1,11,01,11
255;lick;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;32;14;4,2,2,4,4,2,4,6,2,1,8,6,8,2;1101,11,01,0011,0111,11,0111,000011,11,1,00000011,110011,00101001,11
256;line;-;UP;Fats Navarro;-;-;-;-;-;-;62;31;2,2,2,2,2,3,2,2,1,2,2,4,1,2,2,2,2,2,8,2,3,2,4,2,4,3,2,2,2,2,4;11,11,11,01,11,111,11,11,1,11,11,1001,1,11,11,01,11,01,11110010,11,110,11,0001,11,1101,111,01,11,11,11,1011
257;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;9;4;3,3,2,3;110,011,11,111
258;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;8;2;4,6;1111,010111
259;lick;-;UP;Michael Brecker;-;-;-;-;-;-;2;2;1,2;1,01
260;line;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;20;5;6,4,6,6,3;111101,1111,111011,011101,011
261;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;16;5;6,6,4,4,3;110011,101101,1111,0001,111
262;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;6;4;8,3,1,2;00100001,110,1,01
263;lick;-;UP;David Liebman;-;-;-;-;-;-;8;4;2,3,3,2;01,111,111,01
264;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;2;2,2;11,01
265;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;25;9;6,8,6,2,2,2,2,4,1;011111,10110111,100011,01,11,11,11,1110,1
266;line;-;UP;Dexter Gordon;-;-;-;-;-;-;7;4;2,2,6,2;01,11,010001,11
267;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;24;9;4,4,4,7,2,2,1,6,6;0111,1111,1110,0101011,11,01,1,111011,000001
268;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;29;12;4,4,4,5,8,4,1,2,4,1,2,2;0001,1100,0011,01111,11101111,1001,1,11,0111,1,11,11
269;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;40;27;2,2,2,2,2,2,3,1,1,2,2,2,4,1,1,1,2,2,2,2,1,4,1,3,2,2,2;01,11,01,11,01,11,011,1,1,01,11,01,1011,1,1,1,11,11,01,01,1,0011,1,011,11,01,11
270;lick;-;UP;Kenny Dorham;-;-;-;-;-;-;10;6;2,1,2,2,2,2;11,1,11,11,01,11
271;line;-;UP;Joe Lovano;-;-;-;-;-;-;45;23;4,2,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,3,2,3,4;1011,11,0011,011,11,11,01,11,1,11,11,11,11,11,11,11,01,11,0111,011,01,110,1101
272;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;16;8;2,2,1,1,2,6,3,3;11,11,1,1,11,100011,111,110
273;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;22;15;2,1,1,1,2,4,6,2,2,2,1,2,2,1,2;11,1,1,1,01,0001,100001,11,11,11,1,01,11,1,11
274;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;2;2,1;11,1
275;line;-;UP;Steve Coleman;-;-;-;-;-;-;45;23;4,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,3,3,2,4,1,1;1011,11,11,11,11,0011,11,11,11,11,11,11,1,11,11,01,11,110,110,11,1111,1,1
276;line;-;UP;Michael Brecker;-;-;-;-;-;-;47;27;2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2;11,11,01,11,01,01,01,1,01,11,01,11,11,11,11,11,01,11,011,11,11,11,11,111,110,11,11
277;line;-;UP;Michael Brecker;-;-;-;-;-;-;56;24;5,4,4,4,2,2,2,2,4,4,2,1,2,2,2,4,5,4,4,4,2,2,2,2;01111,0011,1011,1111,11,11,11,01,1001,1101,01,1,11,11,11,0110,10111,1111,1011,1111,01,11,11,01
278;line;-;UP;John Coltrane;-;-;-;-;-;-;25;14;1,4,3,3,3,2,3,2,2,2,2,2,2,2;1,0001,111,011,011,11,111,11,11,11,01,11,01,01
279;lick;-;UP;Charlie Parker;-;-;-;-;-;-;9;4;6,4,2,2;010011,1110,01,11
280;lick;-;UP;John Coltrane;-;-;-;-;-;-;30;17;4,3,2,2,2,4,2,2,2,2,2,2,4,4,2,2,2;1110,110,11,01,01,1101,01,01,01,11,01,11,1001,1001,11,11,11
281;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;11;9;2,4,1,1,2,2,2,2,1;11,0001,1,1,01,01,01,11,1
282;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;2;2;1,1;1,1
283;line;-;UP;John Coltrane;-;-;-;-;-;-;12;5;2,3,4,3,2;11,011,1101,111,11
284;lick;-;MEDIUM UP;Zoot Sims;-;-;-;-;-;-;7;4;4,2,1,3;1100,11,1,110
285;line;-;UP;Sonny Rollins;-;-;-;-;-;-;25;14;2,2,2,4,2,1,2,1,2,2,1,1,3,3;11,01,11,0111,11,1,11,1,11,11,1,1,011,111
286;lick;-;UP;Nat Adderley;-;-;-;-;-;-;10;6;2,3,2,1,1,3;11,011,11,1,1,110
287;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;21;10;2,2,3,4,1,3,4,2,2,2;11,11,011,1001,1,111,1101,11,11,11
288;line;-;MEDIUM UP;Curtis Fuller;-;-;-;-;-;-;2;2;1,1,1;1,0,1
289;line;-;UP;Dexter Gordon;-;-;-;-;-;-;5;3;2,2,2;11,01,11
290;lick;-;UP;Joe Lovano;-;-;-;-;-;-;8;5;2,3,1,2,2;11,110,1,11,01
291;lick;-;UP;Zoot Sims;-;-;-;-;-;-;40;25;2,4,2,2,2,1,2,2,2,3,2,1,2,1,1,2,4,2,1,2,2,2,1,2,4;11,1001,01,01,11,1,11,11,11,111,11,1,01,1,1,01,0011,11,1,11,11,11,1,01,1001
292;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;3;2;3,2;011,01
293;line;-;UP;Miles Davis;-;-;-;-;-;-;16;8;2,2,2,2,2,2,2,2;11,11,11,11,11,11,11,11
294;line;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;45;17;3,4,4,4,3,6,6,4,4,4,1,1,4,5,4,2,2;110,1111,1111,1100,011,001011,101011,0011,1111,0001,1,1,1110,11111,1111,11,01
295;lick;-;MEDIUM;Dizzy Gillespie;-;-;-;-;-;-;12;5;2,4,8,2,1;01,1101,11011011,01,1
296;line;-;UP;J.J. Johnson;-;-;-;-;-;-;20;13;2,2,4,2,2,1,4,2,2,2,2,2,1;11,11,0011,01,11,1,1110,01,01,01,11,01,1
297;line;-;UP;Charlie Parker;-;-;-;-;-;-;14;7;2,4,2,2,2,2,2;11,0011,11,11,11,11,11
298;line;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;32;12;5,4,4,1,3,4,8,2,4,6,1,1;01111,0111,0111,1,111,1111,00001111,11,0111,111000,1,1
299;line;-;UP;Charlie Parker;-;-;-;-;-;-;22;12;2,2,4,2,3,4,1,2,2,4,2,2;01,11,0110,01,011,1011,1,11,11,0110,11,11
300;lick;-;UP;John Coltrane;-;-;-;-;-;-;2;1;2;11
301;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;9;5;2,1,4,2,4;11,1,1001,01,1101
302;line;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;10;6;6,4,3,2,2,2;010001,1001,110,01,01,11
303;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;10;5;4,4,2,1,2;1011,1101,11,1,01
304;line;-;UP;Phil Woods;-;-;-;-;-;-;56;29;2,3,2,2,4,1,4,2,1,2,2,2,3,2,2,4,2,4,1,1,2,1,1,3,2,2,2,2,2;11,111,11,11,1111,1,1001,11,1,11,11,11,011,11,01,1111,11,1001,1,1,11,1,1,011,11,11,11,11,11
305;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;19;7;1,4,6,4,2,4,4;1,0111,010111,0111,01,0111,1111
306;line;-;UP;Clifford Brown;-;-;-;-;-;-;57;29;2,2,4,2,2,4,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,2,2;11,11,1101,11,11,0111,1011,011,11,11,11,11,11,01,11,11,1,11,11,01,11,11,011,1,11,11,11,11,11
307;line;-;UP;John Coltrane;-;-;-;-;-;-;27;11;2,2,4,4,2,2,3,3,4,3,2;11,11,1100,1001,11,11,111,111,1111,111,11
308;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;2;2;1,1;1,1
309;line;-;UP;Sonny Stitt;-;-;-;-;-;-;10;6;2,2,6,1,4,2;11,01,100101,1,0001,11
310;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;43;12;4,1,6,4,4,4,4,4,6,4,6,4;1111,1,011101,1111,1111,1111,1111,1111,001111,1111,010001,1111
311;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;4;2,2,2,2;01,11,01,01
312;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;5;4;4,2,1,4;0001,01,1,0110
313;line;-;UP;Lee Konitz;-;-;-;-;-;-;19;10;2,3,2,2,2,3,2,2,2,1;11,011,11,11,11,111,01,11,11,1
314;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;14;9;1,1,2,2,2,2,2,2,6;1,1,11,01,01,11,01,11,010011
315;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;14;8;3,1,2,2,4,2,3,2;011,1,11,01,1101,11,011,01
316;line;-;MEDIUM UP;Steve Lacy;-;-;-;-;-;-;4;4;2,1,1,1;01,1,1,1
317;line;-;UP;John Coltrane;-;-;-;-;-;-;23;11;3,2,3,3,3,3,2,2,2,4,2;011,01,011,011,111,011,11,11,11,1011,11
318;lick;-;UP;Michael Brecker;-;-;-;-;-;-;16;9;2,2,3,2,2,2,2,2,2;01,11,011,11,11,11,01,11,11
319;line;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;41;12;4,4,6,4,4,3,3,6,4,6,4,4;1111,1111,000011,0111,1111,110,111,011101,1111,101111,1111,0110
320;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;9;3;5,4,2;01111,0111,11
321;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;14;6;4,3,6,2,2,2;1100,110,101011,11,11,11
322;line;-;UP;Clifford Brown;-;-;-;-;-;-;30;15;2,3,2,2,3,1,2,2,4,2,2,2,2,2,2;11,111,01,01,111,1,11,11,1011,11,11,11,11,11,11
323;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;3,2,2,4,4;011,01,11,1100,0001
324;line;-;UP;Steve Coleman;-;-;-;-;-;-;11;4;1,6,4,2;1,111111,1001,11
325;line;-;MEDIUM;Miles Davis;-;-;-;-;-;-;27;12;1,3,3,3,3,3,4,2,2,2,4,4;1,111,111,111,111,111,1111,11,01,11,0001,0001
326;lick;-;UP;Joe Henderson;-;-;-;-;-;-;7;5;2,1,1,1,2;11,1,1,1,11
327;line;-;UP;J.J. Johnson;-;-;-;-;-;-;19;13;1,1,1,2,1,2,2,1,2,2,4,1,2;1,1,1,01,1,11,11,1,11,01,1110,1,11
328;line;-;UP;David Liebman;-;-;-;-;-;-;21;14;2,2,2,2,2,1,4,2,2,1,1,2,2,2;11,11,11,01,01,1,1001,11,01,1,1,01,11,11
329;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;24;10;2,2,3,2,2,4,4,4,6,2;11,01,011,11,11,1111,1111,1111,000011,01
330;line;-;UP;Phil Woods;-;-;-;-;-;-;53;29;2,2,2,1,1,1,2,4,2,2,2,2,1,2,4,3,2,1,4,2,2,2,2,4,2,2,2,2,2;11,11,11,1,1,1,11,1011,11,11,11,11,1,11,1001,111,11,1,0001,11,11,11,11,0001,11,11,11,11,11
331;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;8;6;2,1,4,2,1,1;11,1,1001,01,1,1
332;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;16;6;2,4,2,5,4,8;01,0001,11,01111,0001,11111011
333;line;-;UP;Chet Baker;-;-;-;-;-;-;55;30;2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,4,2,2,4,1;11,11,01,11,11,11,1,1,11,01,11,11,11,11,11,11,11,11,11,11,11,1001,11,11,1,1011,11,11,1001,1
334;line;-;UP;Dexter Gordon;-;-;-;-;-;-;9;3;4,4,2;0111,1111,11
335;lick;-;MEDIUM;Stan Getz;-;-;-;-;-;-;4;3;2,2,2;01,11,01
336;lick;-;UP;Miles Davis;-;-;-;-;-;-;12;8;2,1,1,1,2,2,2,2;11,1,1,1,11,11,11,01
337;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;13;9;2,2,2,1,2,1,2,1,2;11,01,01,1,11,1,11,1,11
338;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;18;9;2,2,2,2,6,4,1,4,1;11,11,01,11,110011,0011,1,0111,1
339;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;10;4;2,5,2,2;11,01111,11,11
340;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;17;6;4,3,1,6,3,6;1111,111,1,011101,011,010101
341;line;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;16;9;2,2,3,4,3,2,2,2,4;01,01,111,0001,011,11,01,11,1101
342;lick;-;UP;Hank Mobley;-;-;-;-;-;-;27;17;1,2,1,4,2,2,3,2,2,2,2,1,4,3,3,2,2;1,01,1,0001,01,11,011,11,11,01,11,1,0011,011,111,01,11
343;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;11;10;1,1,1,4,2,4,4,1,4,2;1,1,1,0001,01,1001,0001,1,0001,01
344;line;-;UP;Miles Davis;-;-;-;-;-;-;15;8;3,3,2,2,4,2,2,4;111,011,01,11,1001,11,11,0001
345;lick;-;MEDIUM;Stan Getz;-;-;-;-;-;-;11;5;4,3,4,2,8;0011,111,0110,01,10000101
346;line;-;UP;Joshua Redman;-;-;-;-;-;-;31;15;3,2,4,4,2,2,6,2,4,2,1,4,3,1,2;011,01,0111,1111,11,11,001011,11,1001,11,1,0111,011,1,01
347;line;-;UP;John Coltrane;-;-;-;-;-;-;37;19;4,2,2,1,4,4,2,2,2,2,1,3,4,2,1,2,2,4,2;1011,11,01,1,1101,1011,01,11,11,11,1,011,1011,01,1,11,11,1011,11
348;line;-;UP;John Coltrane;-;-;-;-;-;-;42;23;2,2,4,3,1,4,2,2,2,1,2,1,2,2,2,2,4,2,2,2,2,1,2;11,11,1011,011,1,1011,11,11,11,1,01,1,01,11,11,11,1101,11,01,11,11,1,11
349;line;-;UP;Michael Brecker;-;-;-;-;-;-;51;24;2,2,1,3,6,6,1,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,4,4;11,11,1,011,000111,111110,1,01,11,011,11,01,11,11,11,11,11,11,111,11,11,11,1011,1011
350;line;-;UP;John Coltrane;-;-;-;-;-;-;9;5;2,2,3,1,1;11,11,111,1,1
351;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;32;18;1,2,4,2,4,4,2,1,4,4,2,4,2,4,2,1,2,1;1,11,1101,01,1111,1001,01,1,0001,1011,01,1100,11,1111,01,1,01,1
352;line;-;UP;Chris Potter;-;-;-;-;-;-;25;12;4,2,4,2,2,2,2,2,2,2,2,2;1001,11,1110,11,11,11,11,11,11,11,11,11
353;lick;-;UP;John Coltrane;-;-;-;-;-;-;27;16;1,2,3,1,2,4,2,4,2,1,3,3,3,2,2,2;1,01,011,1,11,0110,11,1001,11,1,011,111,011,01,01,11
354;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;9;4;4,2,4,8;1111,01,0111,00000001
355;lick;-;UP;Stan Getz;-;-;-;-;-;-;7;3;4,2,2;1011,11,11
356;lick;-;UP;Joshua Redman;-;-;-;-;-;-;7;4;2,2,2,2;11,01,11,11
357;line;-;UP;John Coltrane;-;-;-;-;-;-;35;19;2,2,2,1,2,2,4,2,4,1,2,2,2,2,2,2,3,2,4;11,11,11,1,01,11,0110,11,1001,1,11,11,01,11,11,11,011,01,1111
